qtr;time_remaining;result;shot_type;distance_ft;lead
1st Qtr;3:34;True;3;27;False
1st Qtr;1:56;False;3;28;False
2nd Qtr;5:09;True;3;29;True
2nd Qtr;2:18;True;2;4;True
3rd Qtr;10:41;True;3;24;True
3rd Qtr;9:34;False;2;5;True
3rd Qtr;7:33;False;2;19;True
3rd Qtr;6:27;True;3;27;True
3rd Qtr;3:35;False;3;27;False
3rd Qtr;0:02;False;3;28;True
4th Qtr;4:03;False;2;22;True
4th Qtr;2:12;False;2;20;True
4th Qtr;0:41;False;2;12;True
4th Qtr;0:07;False;3;31;False
1st Qtr;11:15;False;3;26;False
1st Qtr;9:01;True;2;4;False
2nd Qtr;10:27;False;2;19;False
2nd Qtr;7:22;True;3;25;True
2nd Qtr;5:26;False;2;20;True
2nd Qtr;4:29;True;2;12;True
2nd Qtr;1:58;False;3;26;True
2nd Qtr;0:19;True;2;18;True
3rd Qtr;6:47;False;3;31;False
3rd Qtr;6:14;False;2;6;False
3rd Qtr;4:51;True;3;28;False
3rd Qtr;2:59;False;2;9;False
3rd Qtr;2:27;True;3;26;False
3rd Qtr;1:56;False;2;20;False
3rd Qtr;0:58;True;2;6;False
4th Qtr;4:25;True;3;26;False
4th Qtr;3:53;True;2;5;False
4th Qtr;2:18;True;2;22;False
1st Qtr;9:58;True;2;5;False
1st Qtr;8:53;True;2;5;False
1st Qtr;8:09;False;3;27;False
1st Qtr;7:25;True;2;5;False
1st Qtr;6:29;True;3;29;False
1st Qtr;2:25;True;2;5;False
1st Qtr;1:18;True;2;5;False
1st Qtr;0:03;False;2;4;False
2nd Qtr;5:26;False;2;5;False
2nd Qtr;1:39;True;2;5;True
3rd Qtr;10:53;False;2;4;True
3rd Qtr;8:17;True;2;5;False
3rd Qtr;6:55;False;3;28;False
3rd Qtr;6:27;True;3;24;True
3rd Qtr;4:44;False;2;5;False
3rd Qtr;4:23;False;3;27;False
3rd Qtr;0:38;True;3;26;True
4th Qtr;6:47;True;2;10;True
4th Qtr;3:33;True;3;28;True
4th Qtr;1:17;True;2;3;True
4th Qtr;0:51;False;3;28;True
1st Qtr;11:10;False;3;26;True
1st Qtr;10:45;True;2;3;True
1st Qtr;7:31;True;3;27;True
1st Qtr;6:02;True;2;3;True
1st Qtr;3:16;False;2;7;True
1st Qtr;1:16;True;3;23;True
1st Qtr;0:07;True;3;26;True
2nd Qtr;1:47;True;3;27;True
3rd Qtr;8:54;True;2;3;True
3rd Qtr;7:30;True;2;3;True
3rd Qtr;6:04;False;3;26;True
3rd Qtr;5:12;False;3;25;True
3rd Qtr;3:20;True;3;26;True
3rd Qtr;1:51;False;3;28;True
3rd Qtr;0:40;False;2;14;True
3rd Qtr;0:31;True;3;24;True
3rd Qtr;0:05;True;3;28;True
4th Qtr;6:23;False;3;28;True
4th Qtr;3:54;False;3;26;True
4th Qtr;2:35;True;3;26;True
1st Qtr;9:43;False;3;27;False
1st Qtr;3:30;True;3;25;True
1st Qtr;3:02;False;2;8;False
1st Qtr;1:14;True;3;23;True
1st Qtr;0:39;True;3;25;True
2nd Qtr;2:34;True;3;26;True
2nd Qtr;1:05;False;3;23;True
2nd Qtr;0:14;True;3;26;True
3rd Qtr;8:02;False;2;15;True
3rd Qtr;7:32;False;2;18;True
4th Qtr;10:46;True;2;19;True
4th Qtr;8:23;False;2;2;True
4th Qtr;6:07;False;3;25;True
4th Qtr;5:40;False;2;17;True
4th Qtr;5:22;True;2;3;True
4th Qtr;3:03;False;3;28;True
4th Qtr;1:39;True;2;2;False
4th Qtr;0:06;False;2;21;False
1st OT;3:50;False;3;27;True
